application_id,customer_id,loan_amount,loan_intent,loan_grade,loan_interest_rate,loan_percent_income,loan_status,loan_amount_category,interest_rate_category,income_burden_category,loan_grade_score
A000049,C000049,30000,MEDICAL,B,12.69,0.38,1,large,medium,medium,2
A000050,C000050,30000,DEBTCONSOLIDATION,A,6.62,0.34,1,large,low,medium,1
A000051,C000051,30000,DEBTCONSOLIDATION,D,,0.38,1,large,,medium,4
A000052,C000052,30000,DEBTCONSOLIDATION,F,18.62,0.38,1,large,high,medium,6
A000053,C000053,30000,PERSONAL,C,15.23,0.33,1,large,high,medium,3
A000054,C000054,30000,VENTURE,B,10.65,0.31,1,large,medium,medium,2
A000055,C000055,30000,EDUCATION,A,7.9,0.25,0,large,low,medium,1
A000056,C000056,10000,PERSONAL,C,15.96,0.04,0,medium,high,low,3
A000057,C000057,20000,VENTURE,B,11.48,0.07,0,medium,medium,low,2
A000058,C000058,35000,PERSONAL,A,,0.13,0,large,,low,1
A000059,C000059,30000,PERSONAL,A,7.29,0.23,0,large,low,medium,1
A000060,C000060,1750,VENTURE,E,,0.15,0,small,,low,5
A000061,C000061,30000,VENTURE,A,5.99,0.23,0,large,low,medium,1
A000062,C000062,12000,VENTURE,B,11.58,0.04,0,medium,medium,low,2
A000063,C000063,10000,EDUCATION,B,,0.04,1,medium,,low,2
A000064,C000064,25000,MEDICAL,D,15.7,0.1,1,large,high,low,4
A000065,C000065,29100,EDUCATION,D,15.99,0.42,1,large,high,medium,4
A000066,C000066,1500,EDUCATION,D,14.84,0.13,0,small,medium,low,4
A000067,C000067,28000,HOMEIMPROVEMENT,B,10.99,0.11,0,large,medium,low,2
A000068,C000068,20000,HOMEIMPROVEMENT,D,14.42,0.08,0,medium,medium,low,4
A000069,C000069,9600,EDUCATION,A,6.99,0.04,0,medium,low,low,1
A000070,C000070,25000,MEDICAL,C,13.49,0.1,0,large,medium,low,3
A000071,C000071,3000,MEDICAL,C,,0.25,1,small,,medium,3
A000072,C000072,28000,MEDICAL,A,,0.49,1,large,,medium,1
A000073,C000073,3000,EDUCATION,C,13.61,0.25,1,small,medium,medium,3
A000074,C000074,28000,EDUCATION,A,7.9,0.43,1,large,low,medium,1
A000075,C000075,28000,VENTURE,A,7.49,0.33,1,large,low,medium,1
A000076,C000076,6100,EDUCATION,A,7.51,0.51,1,medium,low,high,1
A000077,C000077,28000,VENTURE,B,9.91,0.32,1,large,low,medium,2
A000078,C000078,4200,PERSONAL,C,13.48,0.35,1,small,medium,medium,3
A000079,C000079,4750,DEBTCONSOLIDATION,A,7.14,0.4,1,small,low,medium,1
A000080,C000080,28000,VENTURE,D,15.99,0.34,1,large,high,medium,4
A000081,C000081,18000,EDUCATION,C,12.98,0.07,0,medium,medium,low,3
A000082,C000082,4800,VENTURE,C,13.57,0.02,0,small,medium,low,3
A000083,C000083,28000,DEBTCONSOLIDATION,B,12.69,0.28,0,large,medium,medium,2
A000084,C000084,28000,EDUCATION,A,8.9,0.25,0,large,low,medium,1
A000085,C000085,2700,DEBTCONSOLIDATION,A,,0.23,1,small,,medium,1
A000086,C000086,28000,EDUCATION,B,,0.26,1,large,,medium,2
A000087,C000087,28000,DEBTCONSOLIDATION,B,11.11,0.19,0,large,medium,low,2
A000088,C000088,27600,HOMEIMPROVEMENT,A,,0.4,1,large,,medium,1
A000089,C000089,3250,DEBTCONSOLIDATION,E,15.68,0.27,1,small,high,medium,5
A000090,C000090,27500,EDUCATION,C,13.06,0.39,1,large,medium,medium,3
A000091,C000091,25000,PERSONAL,B,,0.1,0,large,,low,2
A000092,C000092,27050,VENTURE,D,15.62,0.37,1,large,high,medium,4
A000093,C000093,27000,PERSONAL,C,13.49,0.33,1,large,medium,medium,3
A000094,C000094,27000,VENTURE,D,,0.37,1,large,,medium,4
A000095,C000095,26000,MEDICAL,B,11.71,0.42,1,large,medium,medium,2
A000096,C000096,25600,EDUCATION,B,12.69,0.21,0,large,medium,medium,2
A000097,C000097,1600,MEDICAL,C,13.57,0.13,0,small,medium,low,3
A000098,C000098,25475,VENTURE,B,10.99,0.42,1,large,medium,medium,2
A000099,C000099,20000,MEDICAL,C,14.27,0.09,0,medium,medium,low,3
A000100,C000100,20000,HOMEIMPROVEMENT,B,8.88,0.09,0,medium,low,low,2
A000101,C000101,21600,HOMEIMPROVEMENT,B,12.18,0.09,0,large,medium,low,2
A000102,C000102,11900,DEBTCONSOLIDATION,D,14.42,0.05,1,medium,medium,low,4
A000103,C000103,25000,MEDICAL,C,14.17,0.11,0,large,medium,low,3
A000104,C000104,35000,MEDICAL,C,13.99,0.15,0,large,medium,low,3
A000105,C000105,25300,EDUCATION,B,10.99,0.3,1,large,medium,medium,2
A000106,C000106,2000,PERSONAL,A,5.42,0.16,1,small,low,low,1
A000107,C000107,1750,PERSONAL,C,13.61,0.14,0,small,medium,low,3
A000108,C000108,25000,EDUCATION,C,12.73,0.59,1,large,medium,high,3
A000109,C000109,25000,HOMEIMPROVEMENT,D,,0.61,1,large,,high,4
A000110,C000110,3000,DEBTCONSOLIDATION,C,12.87,0.23,1,small,medium,medium,3
A000111,C000111,3650,HOMEIMPROVEMENT,B,9.91,0.28,1,small,low,medium,2
A000112,C000112,20000,HOMEIMPROVEMENT,B,11.49,0.09,0,medium,medium,low,2
A000113,C000113,30000,HOMEIMPROVEMENT,E,19.91,0.13,0,large,high,low,5
A000114,C000114,35000,EDUCATION,B,10.65,0.16,1,large,medium,low,2
A000115,C000115,6000,MEDICAL,B,,0.03,0,medium,,low,2
A000116,C000116,4500,DEBTCONSOLIDATION,B,11.83,0.35,1,small,medium,medium,2
A000117,C000117,2400,DEBTCONSOLIDATION,C,13.49,0.18,1,small,medium,low,3
A000118,C000118,25000,MEDICAL,D,14.59,0.6,1,large,medium,high,4
A000119,C000119,25000,EDUCATION,B,9.64,0.52,1,large,low,high,2
A000120,C000120,3600,MEDICAL,D,14.59,0.28,1,small,medium,medium,4
A000121,C000121,4750,EDUCATION,B,,0.37,1,small,,medium,2
A000122,C000122,25000,EDUCATION,E,16.35,0.59,1,large,high,high,5
A000123,C000123,25000,EDUCATION,B,10.99,0.51,1,large,medium,high,2
A000124,C000124,25000,VENTURE,F,18.67,0.11,0,large,high,low,6
A000125,C000125,3000,EDUCATION,A,9.32,0.01,0,small,low,low,1
A000126,C000126,7500,DEBTCONSOLIDATION,A,8.63,0.03,0,medium,low,low,1
A000127,C000127,25000,VENTURE,B,10.08,0.11,0,large,medium,low,2
A000128,C000128,25000,PERSONAL,B,11.83,0.51,1,large,medium,high,2
A000129,C000129,25000,DEBTCONSOLIDATION,A,7.9,0.5,1,large,low,high,1
A000130,C000130,25000,HOMEIMPROVEMENT,A,5.99,0.5,1,large,low,high,1
A000131,C000131,25000,DEBTCONSOLIDATION,D,15.33,0.57,1,large,high,high,4
A000132,C000132,25000,VENTURE,B,11.83,0.5,1,large,medium,high,2
A000133,C000133,25000,VENTURE,B,10.36,0.5,1,large,medium,high,2
A000134,C000134,25000,VENTURE,C,12.23,0.5,1,large,medium,high,3
A000135,C000135,25000,EDUCATION,B,11.11,0.48,1,large,medium,medium,2
A000136,C000136,4950,DEBTCONSOLIDATION,A,7.9,0.38,1,small,low,medium,1
A000137,C000137,25000,EDUCATION,B,11.58,0.11,0,large,medium,low,2
A000138,C000138,21000,DEBTCONSOLIDATION,A,8.9,0.1,0,large,low,low,1
A000139,C000139,25000,EDUCATION,D,16.07,0.12,0,large,high,low,4
A000140,C000140,20000,EDUCATION,C,14.22,0.09,0,medium,medium,low,3
A000141,C000141,35000,MEDICAL,C,14.79,0.16,0,large,medium,low,3
A000142,C000142,12000,EDUCATION,A,7.88,0.06,0,medium,low,low,1
A000143,C000143,25000,PERSONAL,C,13.22,0.48,1,large,medium,medium,3
A000144,C000144,25000,DEBTCONSOLIDATION,D,11.86,0.54,1,large,medium,high,4
A000145,C000145,25000,EDUCATION,C,13.43,0.47,1,large,medium,medium,3
A000146,C000146,25000,HOMEIMPROVEMENT,D,15.28,0.53,1,large,high,high,4
A000147,C000147,25000,VENTURE,E,17.93,0.53,1,large,high,high,5
A000148,C000148,1400,EDUCATION,B,9.25,0.11,0,small,low,low,2
A000149,C000149,4500,VENTURE,C,12.98,0.34,1,small,medium,medium,3
A000150,C000150,16000,VENTURE,B,10.62,0.08,0,medium,medium,low,2
A000151,C000151,22000,PERSONAL,B,11.83,0.1,0,large,medium,low,2
A000152,C000152,25000,VENTURE,F,18.43,0.52,1,large,high,high,6
A000153,C000153,25000,EDUCATION,B,,0.45,1,large,,medium,2
A000154,C000154,25000,HOMEIMPROVEMENT,D,,0.45,1,large,,medium,4
A000155,C000155,25000,EDUCATION,B,11.36,0.45,1,large,medium,medium,2
A000156,C000156,25000,EDUCATION,D,15.65,0.45,1,large,high,medium,4
A000157,C000157,25000,PERSONAL,C,13.22,0.45,1,large,medium,medium,3
A000158,C000158,25000,DEBTCONSOLIDATION,C,12.87,0.45,1,large,medium,medium,3
A000159,C000159,20000,MEDICAL,C,13.04,0.1,0,medium,medium,low,3
A000160,C000160,22000,EDUCATION,F,17.58,0.12,1,large,high,low,6
A000161,C000161,7750,PERSONAL,E,17.04,0.56,1,medium,high,high,5
A000162,C000162,25000,PERSONAL,B,10.99,0.42,1,large,medium,medium,2
A000163,C000163,25000,PERSONAL,B,11.11,0.42,1,large,medium,medium,2
A000164,C000164,25000,DEBTCONSOLIDATION,D,14.83,0.46,1,large,medium,medium,4
A000165,C000165,4000,DEBTCONSOLIDATION,D,,0.29,1,small,,medium,4
A000166,C000166,12000,MEDICAL,B,12.69,0.06,0,medium,medium,low,2
A000167,C000167,12000,HOMEIMPROVEMENT,C,13.49,0.06,0,medium,medium,low,3
A000168,C000168,16000,EDUCATION,C,14.65,0.08,0,medium,medium,low,3
A000169,C000169,25000,HOMEIMPROVEMENT,E,16.82,0.46,1,large,high,medium,5
A000170,C000170,25000,PERSONAL,C,12.73,0.42,1,large,medium,medium,3
A000171,C000171,25000,PERSONAL,B,10.25,0.42,1,large,medium,medium,2
A000172,C000172,25000,EDUCATION,B,10.99,0.42,1,large,medium,medium,2
A000173,C000173,25000,MEDICAL,C,12.73,0.4,1,large,medium,medium,3
A000174,C000174,25000,HOMEIMPROVEMENT,D,14.96,0.44,1,large,medium,medium,4
A000175,C000175,28000,EDUCATION,A,,0.14,0,large,,low,1
A000176,C000176,25000,DEBTCONSOLIDATION,C,13.99,0.13,0,large,medium,low,3
A000177,C000177,24000,VENTURE,A,7.49,0.12,0,large,low,low,1
A000178,C000178,15000,EDUCATION,C,14.79,0.07,0,medium,medium,low,3
A000179,C000179,15500,DEBTCONSOLIDATION,B,11.99,0.08,0,medium,medium,low,2
A000180,C000180,10000,EDUCATION,A,8.49,0.05,0,medium,low,low,1
A000181,C000181,25000,EDUCATION,B,9.91,0.38,1,large,low,medium,2
A000182,C000182,25000,EDUCATION,C,13.06,0.38,1,large,medium,medium,3
A000183,C000183,9000,DEBTCONSOLIDATION,A,6.17,0.04,0,medium,low,low,1
A000184,C000184,6000,EDUCATION,B,11.86,0.03,0,medium,medium,low,2
A000185,C000185,18000,EDUCATION,D,16.32,0.09,0,medium,high,low,4
A000186,C000186,12000,VENTURE,B,10.38,0.06,0,medium,medium,low,2
A000187,C000187,23050,PERSONAL,C,14.35,0.12,0,large,medium,low,3
A000188,C000188,20000,DEBTCONSOLIDATION,B,,0.1,0,medium,,low,2
A000189,C000189,25000,DEBTCONSOLIDATION,E,,0.42,1,large,,medium,5
A000190,C000190,3000,HOMEIMPROVEMENT,B,,0.21,1,small,,medium,2
A000191,C000191,25000,PERSONAL,D,15.21,0.37,1,large,high,medium,4
A000192,C000192,25000,EDUCATION,A,7.9,0.37,1,large,low,medium,1
A000193,C000193,25000,VENTURE,B,10.99,0.37,1,large,medium,medium,2
A000194,C000194,25000,PERSONAL,D,14.09,0.37,1,large,medium,medium,4
A000195,C000195,25000,PERSONAL,D,17.49,0.36,1,large,high,medium,4
A000196,C000196,12000,EDUCATION,B,11.48,0.06,0,medium,medium,low,2
A000197,C000197,20000,VENTURE,E,17.74,0.11,1,medium,high,low,5
A000198,C000198,3000,PERSONAL,C,13.92,0.01,0,small,medium,low,3
A000199,C000199,25000,EDUCATION,D,15.21,0.36,1,large,high,medium,4
A000200,C000200,4000,MEDICAL,B,10.99,0.28,1,small,medium,medium,2
A000201,C000201,25000,EDUCATION,B,11.86,0.36,1,large,medium,medium,2
A000202,C000202,6000,PERSONAL,A,7.49,0.42,1,medium,low,medium,1
A000203,C000203,25000,MEDICAL,D,16.49,0.38,1,large,high,medium,4
A000204,C000204,25000,VENTURE,D,15.33,0.38,1,large,high,medium,4
A000205,C000205,25000,HOMEIMPROVEMENT,B,11.58,0.38,1,large,medium,medium,2
A000206,C000206,5375,EDUCATION,A,5.79,0.37,1,medium,low,medium,1
A000207,C000207,25000,MEDICAL,C,13.11,0.34,1,large,medium,medium,3
A000208,C000208,25000,MEDICAL,B,10.36,0.34,1,large,medium,medium,2
A000209,C000209,25000,DEBTCONSOLIDATION,B,10.36,0.33,1,large,medium,medium,2
A000210,C000210,22000,MEDICAL,C,,0.11,0,large,,low,3
A000211,C000211,20000,VENTURE,A,6.54,0.1,0,medium,low,low,1
A000212,C000212,10000,MEDICAL,B,12.53,0.05,0,medium,medium,low,2
A000213,C000213,15000,PERSONAL,A,,0.08,0,medium,,low,1
A000214,C000214,10000,VENTURE,C,,0.05,0,medium,,low,3
A000215,C000215,25000,EDUCATION,B,10.25,0.33,1,large,medium,medium,2
A000216,C000216,25000,EDUCATION,D,15.95,0.35,1,large,high,medium,4
A000217,C000217,20000,VENTURE,B,12.18,0.11,0,medium,medium,low,2
A000218,C000218,24000,PERSONAL,B,11.83,0.13,0,large,medium,low,2
A000219,C000219,25000,DEBTCONSOLIDATION,C,,0.32,1,large,,medium,3
A000220,C000220,25000,VENTURE,B,10.62,0.32,1,large,medium,medium,2
A000221,C000221,25000,VENTURE,B,10.74,0.32,1,large,medium,medium,2
A000222,C000222,10000,VENTURE,B,10.25,0.05,0,medium,medium,low,2
A000223,C000223,35000,EDUCATION,B,12.42,0.19,0,large,medium,low,2
A000224,C000224,15000,VENTURE,C,15.27,0.08,0,medium,high,low,3
A000225,C000225,25000,MEDICAL,D,15.33,0.34,1,large,high,medium,4
A000226,C000226,25000,VENTURE,D,15.21,0.31,1,large,high,medium,4
A000227,C000227,6250,VENTURE,C,14.72,0.43,1,medium,medium,medium,3
A000228,C000228,25000,PERSONAL,D,15.7,0.31,1,large,high,medium,4
A000229,C000229,25000,EDUCATION,C,13.35,0.31,1,large,medium,medium,3
A000230,C000230,1500,MEDICAL,C,,0.1,0,small,,low,3
A000231,C000231,25000,EDUCATION,A,6.62,0.31,1,large,low,medium,1
A000232,C000232,25000,DEBTCONSOLIDATION,C,13.61,0.31,1,large,medium,medium,3
A000233,C000233,25000,MEDICAL,B,11.36,0.14,0,large,medium,low,2
A000234,C000234,5000,PERSONAL,A,7.68,0.03,0,small,low,low,1
A000235,C000235,22000,HOMEIMPROVEMENT,D,14.46,0.12,0,large,medium,low,4
A000236,C000236,2500,EDUCATION,B,11.83,0.01,0,small,medium,low,2
A000237,C000237,20000,DEBTCONSOLIDATION,C,13.47,0.12,1,medium,medium,low,3
A000238,C000238,20000,MEDICAL,B,11.49,0.11,0,medium,medium,low,2
A000239,C000239,1000,EDUCATION,A,,0.01,0,small,,low,1
A000240,C000240,15000,PERSONAL,A,6.03,0.08,0,medium,low,low,1
A000241,C000241,25000,DEBTCONSOLIDATION,E,16.35,0.34,1,large,high,medium,5
A000242,C000242,25000,DEBTCONSOLIDATION,D,,0.34,1,large,,medium,4
A000243,C000243,25000,DEBTCONSOLIDATION,A,7.29,0.31,1,large,low,medium,1
A000244,C000244,25000,MEDICAL,B,11.36,0.31,1,large,medium,medium,2
A000245,C000245,25000,VENTURE,B,10.25,0.3,0,large,medium,medium,2
A000246,C000246,25000,EDUCATION,B,11.12,0.3,0,large,medium,medium,2
A000247,C000247,25000,PERSONAL,D,12.92,0.3,0,large,medium,medium,4
A000248,C000248,18000,EDUCATION,E,18.64,0.1,0,medium,high,low,5
A000249,C000249,28000,PERSONAL,A,7.51,0.16,0,large,low,low,1
A000250,C000250,4000,HOMEIMPROVEMENT,E,16.7,0.28,1,small,high,medium,5
A000251,C000251,2100,PERSONAL,B,11.14,0.15,0,small,medium,low,2
A000252,C000252,25000,PERSONAL,F,18.3,0.3,0,large,high,medium,6
A000253,C000253,25000,MEDICAL,B,10.62,0.29,0,large,medium,medium,2
A000254,C000254,14000,VENTURE,B,11.99,0.08,0,medium,medium,low,2
A000255,C000255,12000,VENTURE,B,9.63,0.07,0,medium,low,low,2
A000256,C000256,10000,MEDICAL,F,18.25,0.06,1,medium,high,low,6
A000257,C000257,6000,DEBTCONSOLIDATION,C,,0.41,1,medium,,medium,3
A000258,C000258,25000,HOMEIMPROVEMENT,D,14.84,0.29,0,large,medium,medium,4
A000259,C000259,25000,VENTURE,E,14.7,0.33,1,large,medium,medium,5
A000260,C000260,25000,DEBTCONSOLIDATION,D,16.02,0.33,1,large,high,medium,4
A000261,C000261,25000,MEDICAL,D,15.37,0.32,1,large,high,medium,4
A000262,C000262,25000,MEDICAL,B,10.99,0.28,0,large,medium,medium,2
A000263,C000263,6200,HOMEIMPROVEMENT,A,7.9,0.41,1,medium,low,medium,1
A000264,C000264,25000,PERSONAL,B,10.99,0.14,0,large,medium,low,2
A000265,C000265,21000,EDUCATION,B,11.48,0.12,0,large,medium,low,2
A000266,C000266,20000,MEDICAL,C,14.26,0.11,0,medium,medium,low,3
A000267,C000267,10000,HOMEIMPROVEMENT,A,8.0,0.06,0,medium,low,low,1
A000268,C000268,9950,VENTURE,B,11.26,0.06,0,medium,medium,low,2
A000269,C000269,4475,MEDICAL,B,,0.3,1,small,,medium,2
A000270,C000270,25000,VENTURE,D,16.32,0.32,1,large,high,medium,4
A000271,C000271,25000,MEDICAL,E,17.93,0.32,1,large,high,medium,5
A000272,C000272,25000,DEBTCONSOLIDATION,B,11.36,0.28,0,large,medium,medium,2
A000273,C000273,25000,DEBTCONSOLIDATION,D,14.96,0.32,1,large,medium,medium,4
A000274,C000274,25000,PERSONAL,C,13.43,0.27,0,large,medium,medium,3
A000275,C000275,25000,HOMEIMPROVEMENT,B,12.69,0.27,0,large,medium,medium,2
A000276,C000276,25000,VENTURE,C,12.73,0.27,0,large,medium,medium,3
A000277,C000277,25000,VENTURE,D,15.21,0.27,0,large,high,medium,4
A000278,C000278,1750,MEDICAL,C,12.68,0.12,0,small,medium,low,3
A000279,C000279,25000,MEDICAL,F,19.04,0.3,1,large,high,medium,6
A000280,C000280,25000,DEBTCONSOLIDATION,D,15.95,0.3,1,large,high,medium,4
A000281,C000281,2600,VENTURE,A,8.9,0.01,0,small,low,low,1
A000282,C000282,8000,HOMEIMPROVEMENT,A,7.9,0.05,0,medium,low,low,1
A000283,C000283,18000,EDUCATION,B,,0.1,0,medium,,low,2
A000284,C000284,21000,PERSONAL,B,11.99,0.12,0,large,medium,low,2
A000285,C000285,4000,DEBTCONSOLIDATION,C,13.98,0.27,1,small,medium,medium,3
A000286,C000286,4600,VENTURE,B,10.99,0.31,1,small,medium,medium,2
A000287,C000287,25000,DEBTCONSOLIDATION,D,15.58,0.28,1,large,high,medium,4
A000288,C000288,25000,MEDICAL,B,10.99,0.28,1,large,medium,medium,2
A000289,C000289,25000,VENTURE,D,14.96,0.28,1,large,medium,medium,4
A000290,C000290,1750,HOMEIMPROVEMENT,D,15.31,0.12,0,small,high,low,4
A000291,C000291,25000,VENTURE,D,15.65,0.28,1,large,high,medium,4
A000292,C000292,25000,VENTURE,B,9.33,0.25,0,large,low,medium,2
A000293,C000293,3600,PERSONAL,C,13.47,0.24,1,small,medium,medium,3
A000294,C000294,25000,PERSONAL,B,10.36,0.24,0,large,medium,medium,2
A000295,C000295,25000,HOMEIMPROVEMENT,E,16.77,0.27,1,large,high,medium,5
A000296,C000296,25000,DEBTCONSOLIDATION,D,14.59,0.27,1,large,medium,medium,4
A000297,C000297,3500,VENTURE,C,11.91,0.02,0,small,medium,low,3
A000298,C000298,7200,EDUCATION,A,8.38,0.04,0,medium,low,low,1
A000299,C000299,9000,VENTURE,B,10.59,0.05,0,medium,medium,low,2
A000300,C000300,8800,DEBTCONSOLIDATION,C,14.27,0.05,0,medium,medium,low,3
A000301,C000301,12000,DEBTCONSOLIDATION,B,12.53,0.07,0,medium,medium,low,2
A000302,C000302,25000,DEBTCONSOLIDATION,E,16.0,0.15,1,large,high,low,5
A000303,C000303,10000,VENTURE,B,11.71,0.06,0,medium,medium,low,2
A000304,C000304,3175,HOMEIMPROVEMENT,C,11.54,0.21,1,small,medium,medium,3
A000305,C000305,25000,HOMEIMPROVEMENT,E,15.68,0.26,1,large,high,medium,5
A000306,C000306,1500,EDUCATION,B,10.59,0.1,0,small,medium,low,2
A000307,C000307,25000,HOMEIMPROVEMENT,D,12.61,0.26,1,large,medium,medium,4
A000308,C000308,25000,PERSONAL,C,,0.23,0,large,,medium,3
A000309,C000309,2800,PERSONAL,A,8.49,0.18,1,small,low,low,1
A000310,C000310,30000,PERSONAL,D,17.27,0.19,1,large,high,low,4
A000311,C000311,18000,DEBTCONSOLIDATION,A,8.9,0.1,0,medium,low,low,1
A000312,C000312,10000,MEDICAL,B,11.11,0.06,0,medium,medium,low,2
A000313,C000313,25000,HOMEIMPROVEMENT,D,14.59,0.16,1,large,medium,low,4
A000314,C000314,13000,VENTURE,B,12.42,0.08,0,medium,medium,low,2
A000315,C000315,25000,MEDICAL,D,,0.26,1,large,,medium,4
A000316,C000316,25000,HOMEIMPROVEMENT,D,15.7,0.23,0,large,high,medium,4
A000317,C000317,2500,HOMEIMPROVEMENT,B,12.53,0.16,1,small,medium,low,2
A000318,C000318,5000,MEDICAL,D,16.49,0.03,1,small,high,low,4
A000319,C000319,20000,EDUCATION,A,7.49,0.12,0,medium,low,low,1
A000320,C000320,25000,DEBTCONSOLIDATION,D,14.96,0.25,1,large,medium,medium,4
A000321,C000321,25000,MEDICAL,C,12.73,0.22,0,large,medium,medium,3
A000322,C000322,25000,EDUCATION,B,10.65,0.21,0,large,medium,medium,2
A000323,C000323,25000,MEDICAL,B,10.74,0.21,0,large,medium,medium,2
A000324,C000324,25000,EDUCATION,B,9.99,0.21,0,large,low,medium,2
A000325,C000325,25000,MEDICAL,D,15.33,0.23,1,large,high,medium,4
A000326,C000326,1000,VENTURE,A,7.29,0.06,0,small,low,low,1
A000327,C000327,25000,PERSONAL,D,15.05,0.23,1,large,high,medium,4
A000328,C000328,25000,PERSONAL,B,10.75,0.19,0,large,medium,low,2
A000329,C000329,25000,EDUCATION,D,16.02,0.19,0,large,high,low,4
A000330,C000330,25000,VENTURE,B,11.49,0.19,0,large,medium,low,2
A000331,C000331,20000,EDUCATION,B,12.53,0.12,0,medium,medium,low,2
A000332,C000332,12000,VENTURE,C,13.57,0.07,0,medium,medium,low,3
A000333,C000333,14000,PERSONAL,B,11.14,0.08,0,medium,medium,low,2
A000334,C000334,24250,MEDICAL,C,12.87,0.14,0,large,medium,low,3
A000335,C000335,20000,EDUCATION,B,11.58,0.12,0,medium,medium,low,2
A000336,C000336,1800,HOMEIMPROVEMENT,B,11.12,0.01,0,small,medium,low,2
A000337,C000337,35000,PERSONAL,B,10.65,0.21,0,large,medium,medium,2
A000338,C000338,25000,DEBTCONSOLIDATION,B,10.37,0.19,0,large,medium,low,2
A000339,C000339,3300,HOMEIMPROVEMENT,A,6.39,0.21,1,small,low,medium,1
A000340,C000340,25000,PERSONAL,D,16.07,0.19,0,large,high,low,4
A000341,C000341,25000,MEDICAL,B,10.62,0.19,0,large,medium,low,2
