customer_id,credit_history_length,default_history,credit_history_category,has_default_history,financial_risk_level
C000103,2,Y,short,1,high
C000104,4,N,medium,0,medium
C000105,3,N,medium,0,medium
C000106,4,N,medium,0,medium
C000107,3,N,medium,0,medium
C000108,3,Y,medium,1,high
C000109,3,N,medium,0,medium
C000110,4,Y,medium,1,high
C000111,3,N,medium,0,medium
C000112,4,N,medium,0,medium
C000113,2,Y,short,1,high
C000114,2,N,short,0,medium
C000115,4,N,medium,0,medium
C000116,4,N,medium,0,medium
C000117,2,Y,short,1,high
C000118,2,Y,short,1,high
C000119,4,N,medium,0,medium
C000120,3,N,medium,0,medium
C000121,3,N,medium,0,medium
C000122,3,Y,medium,1,high
C000123,2,N,short,0,medium
C000124,2,N,short,0,medium
C000125,4,N,medium,0,medium
C000126,2,N,short,0,medium
C000127,2,N,short,0,medium
C000128,3,N,medium,0,medium
C000129,3,N,medium,0,medium
C000130,2,N,short,0,medium
C000131,2,N,short,0,medium
C000132,4,N,medium,0,medium
C000133,2,N,short,0,medium
C000134,3,N,medium,0,medium
C000135,4,N,medium,0,medium
C000136,4,N,medium,0,medium
C000137,2,N,short,0,medium
C000138,3,N,medium,0,medium
C000139,3,N,medium,0,medium
C000140,2,Y,short,1,high
C000141,3,Y,medium,1,high
C000142,2,N,short,0,medium
C000143,2,N,short,0,medium
C000144,4,N,medium,0,medium
C000145,4,Y,medium,1,high
C000146,2,Y,short,1,high
C000147,2,N,short,0,medium
C000148,4,N,medium,0,medium
C000149,4,N,medium,0,medium
C000150,4,N,medium,0,medium
C000151,4,N,medium,0,medium
C000152,2,N,short,0,medium
C000153,4,N,medium,0,medium
C000154,4,Y,medium,1,high
C000155,3,N,medium,0,medium
C000156,3,Y,medium,1,high
C000157,4,Y,medium,1,high
C000158,2,N,short,0,medium
C000159,3,N,medium,0,medium
C000160,3,Y,medium,1,high
C000161,4,N,medium,0,medium
C000162,3,N,medium,0,medium
C000163,3,N,medium,0,medium
C000164,2,Y,short,1,high
C000165,3,N,medium,0,medium
C000166,2,N,short,0,medium
C000167,2,N,short,0,medium
C000168,4,N,medium,0,medium
C000169,4,N,medium,0,medium
C000170,3,N,medium,0,medium
C000171,4,N,medium,0,medium
C000172,4,N,medium,0,medium
C000173,2,N,short,0,medium
C000174,3,Y,medium,1,high
C000175,2,N,short,0,medium
C000176,2,N,short,0,medium
C000177,4,N,medium,0,medium
C000178,3,N,medium,0,medium
C000179,2,N,short,0,medium
C000180,4,N,medium,0,medium
C000181,2,N,short,0,medium
C000182,3,Y,medium,1,high
C000183,4,N,medium,0,medium
C000184,2,N,short,0,medium
C000185,3,N,medium,0,medium
C000186,2,N,short,0,medium
C000187,3,N,medium,0,medium
C000188,3,N,medium,0,medium
C000189,2,Y,short,1,high
C000190,4,N,medium,0,medium
C000191,2,Y,short,1,high
C000192,4,N,medium,0,medium
C000193,3,N,medium,0,medium
C000194,3,Y,medium,1,high
C000195,2,N,short,0,medium
C000196,3,N,medium,0,medium
C000197,2,N,short,0,medium
C000198,3,N,medium,0,medium
C000199,3,N,medium,0,medium
C000200,3,N,medium,0,medium
C000201,4,N,medium,0,medium
C000202,3,N,medium,0,medium
C000203,4,N,medium,0,medium
C000204,2,Y,short,1,high
C000205,4,N,medium,0,medium
C000206,2,N,short,0,medium
C000207,2,N,short,0,medium
C000208,3,N,medium,0,medium
C000209,2,N,short,0,medium
C000210,2,Y,short,1,high
C000211,4,N,medium,0,medium
C000212,4,N,medium,0,medium
C000213,3,N,medium,0,medium
C000214,3,N,medium,0,medium
C000215,4,N,medium,0,medium
C000216,4,Y,medium,1,high
C000217,4,N,medium,0,medium
C000218,3,N,medium,0,medium
C000219,2,Y,short,1,high
C000220,3,N,medium,0,medium
C000221,3,N,medium,0,medium
C000222,4,N,medium,0,medium
C000223,2,N,short,0,medium
C000224,2,N,short,0,medium
C000225,2,Y,short,1,high
C000226,2,Y,short,1,high
C000227,2,N,short,0,medium
C000228,2,Y,short,1,high
C000229,4,N,medium,0,medium
C000230,4,N,medium,0,medium
C000231,2,N,short,0,medium
C000232,4,N,medium,0,medium
C000233,2,N,short,0,medium
C000234,2,N,short,0,medium
C000235,4,Y,medium,1,high
C000236,2,N,short,0,medium
C000237,4,Y,medium,1,high
C000238,3,N,medium,0,medium
C000239,2,N,short,0,medium
C000240,3,N,medium,0,medium
C000241,4,N,medium,0,medium
C000242,4,Y,medium,1,high
C000243,3,N,medium,0,medium
C000244,3,N,medium,0,medium
C000245,2,N,short,0,medium
C000246,3,N,medium,0,medium
C000247,3,Y,medium,1,high
C000248,4,Y,medium,1,high
C000249,3,N,medium,0,medium
C000250,2,N,short,0,medium
C000251,4,N,medium,0,medium
C000252,4,N,medium,0,medium
C000253,4,N,medium,0,medium
C000254,2,N,short,0,medium
C000255,4,N,medium,0,medium
C000256,4,N,medium,0,medium
C000257,4,N,medium,0,medium
C000258,3,N,medium,0,medium
C000259,3,Y,medium,1,high
C000260,4,N,medium,0,medium
C000261,2,Y,short,1,high
C000262,4,N,medium,0,medium
C000263,2,N,short,0,medium
C000264,4,N,medium,0,medium
C000265,3,N,medium,0,medium
C000266,4,Y,medium,1,high
C000267,4,N,medium,0,medium
C000268,2,N,short,0,medium
C000269,4,N,medium,0,medium
C000270,3,Y,medium,1,high
C000271,4,Y,medium,1,high
C000272,3,N,medium,0,medium
C000273,4,Y,medium,1,high
C000274,3,Y,medium,1,high
C000275,3,N,medium,0,medium
C000276,4,Y,medium,1,high
C000277,4,N,medium,0,medium
C000278,3,Y,medium,1,high
C000279,4,Y,medium,1,high
C000280,3,Y,medium,1,high
C000281,4,N,medium,0,medium
C000282,2,N,short,0,medium
C000283,2,N,short,0,medium
C000284,3,N,medium,0,medium
C000285,4,N,medium,0,medium
C000286,2,N,short,0,medium
C000287,2,Y,short,1,high
C000288,2,N,short,0,medium
C000289,4,N,medium,0,medium
C000290,4,Y,medium,1,high
C000291,3,N,medium,0,medium
C000292,4,N,medium,0,medium
C000293,4,N,medium,0,medium
C000294,3,N,medium,0,medium
C000295,4,Y,medium,1,high
C000296,2,Y,short,1,high
C000297,2,Y,short,1,high
C000298,3,N,medium,0,medium
C000299,3,N,medium,0,medium
C000300,3,N,medium,0,medium
C000301,4,N,medium,0,medium
C000302,3,Y,medium,1,high
C000303,4,N,medium,0,medium
C000304,3,Y,medium,1,high
C000305,4,Y,medium,1,high
C000306,2,N,short,0,medium
C000307,2,Y,short,1,high
C000308,2,Y,short,1,high
C000309,3,N,medium,0,medium
C000310,4,Y,medium,1,high
C000311,4,N,medium,0,medium
C000312,4,N,medium,0,medium
C000313,2,Y,short,1,high
C000314,3,N,medium,0,medium
C000315,2,N,short,0,medium
C000316,2,Y,short,1,high
C000317,3,N,medium,0,medium
C000318,2,N,short,0,medium
C000319,2,N,short,0,medium
C000320,2,Y,short,1,high
C000321,4,Y,medium,1,high
C000322,4,N,medium,0,medium
C000323,2,N,short,0,medium
C000324,2,N,short,0,medium
C000325,2,Y,short,1,high
C000326,4,N,medium,0,medium
C000327,3,N,medium,0,medium
C000328,3,N,medium,0,medium
C000329,2,Y,short,1,high
C000330,4,N,medium,0,medium
C000331,4,N,medium,0,medium
C000332,2,Y,short,1,high
C000333,3,N,medium,0,medium
C000334,3,Y,medium,1,high
C000335,3,N,medium,0,medium
C000336,3,N,medium,0,medium
C000337,2,N,short,0,medium
C000338,2,N,short,0,medium
C000339,4,N,medium,0,medium
C000340,3,Y,medium,1,high
C000341,2,N,short,0,medium
C000342,2,N,short,0,medium
C000343,4,N,medium,0,medium
C000344,4,N,medium,0,medium
C000345,4,N,medium,0,medium
C000346,3,N,medium,0,medium
C000347,3,N,medium,0,medium
C000348,2,Y,short,1,high
C000349,4,N,medium,0,medium
C000350,4,N,medium,0,medium
C000351,4,N,medium,0,medium
C000352,2,N,short,0,medium
C000353,4,Y,medium,1,high
C000354,3,N,medium,0,medium
C000355,3,N,medium,0,medium
C000356,4,N,medium,0,medium
C000357,2,Y,short,1,high
C000358,3,N,medium,0,medium
C000359,2,N,short,0,medium
C000360,3,N,medium,0,medium
C000361,2,Y,short,1,high
C000362,2,N,short,0,medium
C000363,4,N,medium,0,medium
C000364,4,N,medium,0,medium
C000365,4,N,medium,0,medium
C000366,4,N,medium,0,medium
C000367,4,N,medium,0,medium
C000368,3,N,medium,0,medium
C000369,3,N,medium,0,medium
C000370,4,N,medium,0,medium
C000371,2,N,short,0,medium
C000372,4,N,medium,0,medium
C000373,2,N,short,0,medium
C000374,4,N,medium,0,medium
C000375,4,N,medium,0,medium
C000376,4,Y,medium,1,high
C000377,4,N,medium,0,medium
C000378,4,N,medium,0,medium
C000379,4,N,medium,0,medium
C000380,3,N,medium,0,medium
C000381,4,N,medium,0,medium
C000382,2,N,short,0,medium
C000383,2,Y,short,1,high
C000384,2,N,short,0,medium
C000385,3,N,medium,0,medium
C000386,3,Y,medium,1,high
C000387,2,Y,short,1,high
C000388,2,N,short,0,medium
C000389,3,N,medium,0,medium
C000390,4,N,medium,0,medium
C000391,3,N,medium,0,medium
C000392,2,Y,short,1,high
C000393,4,N,medium,0,medium
C000394,4,Y,medium,1,high
C000395,2,Y,short,1,high
C000396,2,Y,short,1,high
C000397,3,N,medium,0,medium
C000398,4,N,medium,0,medium
C000399,2,N,short,0,medium
C000400,3,N,medium,0,medium
C000401,3,N,medium,0,medium
C000402,3,Y,medium,1,high
C000403,3,Y,medium,1,high
C000404,4,N,medium,0,medium
C000405,2,Y,short,1,high
C000406,3,N,medium,0,medium
C000407,2,Y,short,1,high
C000408,2,N,short,0,medium
C000409,3,Y,medium,1,high
C000410,2,N,short,0,medium
C000411,2,N,short,0,medium
C000412,4,N,medium,0,medium
C000413,4,N,medium,0,medium
C000414,4,N,medium,0,medium
C000415,3,N,medium,0,medium
C000416,2,N,short,0,medium
C000417,3,N,medium,0,medium
C000418,2,N,short,0,medium
C000419,2,N,short,0,medium
C000420,3,Y,medium,1,high
C000421,2,Y,short,1,high
C000422,4,N,medium,0,medium
C000423,4,N,medium,0,medium
C000424,3,N,medium,0,medium
C000425,4,Y,medium,1,high
C000426,4,N,medium,0,medium
C000427,2,N,short,0,medium
C000428,4,N,medium,0,medium
C000429,4,N,medium,0,medium
C000430,3,N,medium,0,medium
C000431,3,N,medium,0,medium
C000432,3,N,medium,0,medium
C000433,3,N,medium,0,medium
C000434,3,N,medium,0,medium
C000435,2,N,short,0,medium
C000436,4,N,medium,0,medium
C000437,2,N,short,0,medium
C000438,2,N,short,0,medium
C000439,3,N,medium,0,medium
C000440,2,N,short,0,medium
C000441,3,N,medium,0,medium
C000442,4,N,medium,0,medium
C000443,4,Y,medium,1,high
C000444,2,N,short,0,medium
C000445,4,N,medium,0,medium
C000446,4,N,medium,0,medium
C000447,4,N,medium,0,medium
C000448,2,Y,short,1,high
C000449,4,N,medium,0,medium
C000450,4,N,medium,0,medium
C000451,4,N,medium,0,medium
C000452,3,N,medium,0,medium
C000453,4,Y,medium,1,high
C000454,2,N,short,0,medium
C000455,3,N,medium,0,medium
C000456,2,N,short,0,medium
C000457,2,N,short,0,medium
C000458,3,Y,medium,1,high
C000459,4,N,medium,0,medium
C000460,2,Y,short,1,high
C000461,3,N,medium,0,medium
C000462,4,N,medium,0,medium
C000463,4,N,medium,0,medium
C000464,2,N,short,0,medium
C000465,2,Y,short,1,high
C000466,3,N,medium,0,medium
C000467,2,N,short,0,medium
C000468,2,N,short,0,medium
C000469,3,N,medium,0,medium
C000470,2,N,short,0,medium
C000471,4,N,medium,0,medium
C000472,4,N,medium,0,medium
C000473,2,N,short,0,medium
C000474,2,Y,short,1,high
C000475,3,N,medium,0,medium
C000476,2,N,short,0,medium
C000477,2,N,short,0,medium
C000478,3,N,medium,0,medium
C000479,2,N,short,0,medium
C000480,4,N,medium,0,medium
C000481,4,Y,medium,1,high
C000482,3,N,medium,0,medium
C000483,4,N,medium,0,medium
C000484,2,N,short,0,medium
C000485,3,N,medium,0,medium
C000486,2,N,short,0,medium
C000487,2,N,short,0,medium
C000488,4,N,medium,0,medium
C000489,2,N,short,0,medium
C000490,3,N,medium,0,medium
C000491,2,Y,short,1,high
C000492,4,Y,medium,1,high
C000493,3,N,medium,0,medium
C000494,3,N,medium,0,medium
C000495,2,N,short,0,medium
C000496,2,N,short,0,medium
C000497,4,Y,medium,1,high
C000498,3,N,medium,0,medium
C000499,2,N,short,0,medium
C000500,4,N,medium,0,medium
C000501,2,Y,short,1,high
C000502,2,N,short,0,medium
C000503,3,N,medium,0,medium
C000504,4,N,medium,0,medium
C000505,2,N,short,0,medium
C000506,3,N,medium,0,medium
C000507,2,N,short,0,medium
C000508,3,N,medium,0,medium
C000509,3,N,medium,0,medium
C000510,3,N,medium,0,medium
C000511,4,N,medium,0,medium
C000512,2,N,short,0,medium
C000513,2,N,short,0,medium
C000514,3,N,medium,0,medium
C000515,4,N,medium,0,medium
C000516,3,N,medium,0,medium
C000517,2,N,short,0,medium
C000518,3,N,medium,0,medium
C000519,4,N,medium,0,medium
C000520,3,N,medium,0,medium
C000521,2,N,short,0,medium
C000522,2,N,short,0,medium
C000523,2,N,short,0,medium
C000524,4,Y,medium,1,high
C000525,3,Y,medium,1,high
C000526,3,Y,medium,1,high
C000527,3,N,medium,0,medium
C000528,3,N,medium,0,medium
C000529,2,N,short,0,medium
C000530,4,N,medium,0,medium
C000531,4,N,medium,0,medium
C000532,3,N,medium,0,medium
C000533,3,N,medium,0,medium
C000534,3,Y,medium,1,high
C000535,4,N,medium,0,medium
C000536,3,N,medium,0,medium
C000537,2,N,short,0,medium
C000538,2,N,short,0,medium
C000539,2,Y,short,1,high
C000540,3,N,medium,0,medium
C000541,2,N,short,0,medium
C000542,3,Y,medium,1,high
C000543,4,Y,medium,1,high
C000544,4,N,medium,0,medium
C000545,4,Y,medium,1,high
C000546,4,N,medium,0,medium
C000547,4,N,medium,0,medium
C000548,3,N,medium,0,medium
C000549,4,Y,medium,1,high
C000550,2,N,short,0,medium
C000551,4,N,medium,0,medium
C000552,3,N,medium,0,medium
C000553,4,Y,medium,1,high
C000554,3,N,medium,0,medium
C000555,3,N,medium,0,medium
C000556,3,N,medium,0,medium
C000557,4,Y,medium,1,high
C000558,2,N,short,0,medium
C000559,3,N,medium,0,medium
C000560,4,N,medium,0,medium
C000561,3,N,medium,0,medium
C000562,3,N,medium,0,medium
C000563,3,Y,medium,1,high
C000564,3,N,medium,0,medium
C000565,3,Y,medium,1,high
C000566,3,Y,medium,1,high
C000567,2,Y,short,1,high
C000568,3,N,medium,0,medium
C000569,2,N,short,0,medium
C000570,3,Y,medium,1,high
C000571,2,N,short,0,medium
C000572,2,N,short,0,medium
C000573,3,N,medium,0,medium
C000574,3,Y,medium,1,high
C000575,4,N,medium,0,medium
C000576,3,N,medium,0,medium
C000577,2,N,short,0,medium
C000578,2,N,short,0,medium
C000579,3,N,medium,0,medium
C000580,4,N,medium,0,medium
C000581,4,N,medium,0,medium
C000582,4,N,medium,0,medium
C000583,4,N,medium,0,medium
C000584,4,N,medium,0,medium
C000585,2,N,short,0,medium
C000586,4,N,medium,0,medium
C000587,4,Y,medium,1,high
C000588,2,N,short,0,medium
C000589,4,N,medium,0,medium
C000590,3,N,medium,0,medium
C000591,2,Y,short,1,high
C000592,3,N,medium,0,medium
C000593,4,N,medium,0,medium
C000594,4,N,medium,0,medium
C000595,2,Y,short,1,high
C000596,3,Y,medium,1,high
C000597,3,N,medium,0,medium
C000598,4,N,medium,0,medium
C000599,4,N,medium,0,medium
C000600,2,N,short,0,medium
C000601,2,N,short,0,medium
C000602,3,N,medium,0,medium
C000603,3,Y,medium,1,high
C000604,2,N,short,0,medium
C000605,2,N,short,0,medium
C000606,3,N,medium,0,medium
C000607,3,N,medium,0,medium
C000608,4,N,medium,0,medium
C000609,4,N,medium,0,medium
C000610,4,N,medium,0,medium
C000611,2,N,short,0,medium
C000612,3,N,medium,0,medium
C000613,2,N,short,0,medium
C000614,2,N,short,0,medium
C000615,3,N,medium,0,medium
C000616,4,N,medium,0,medium
C000617,3,N,medium,0,medium
C000618,3,N,medium,0,medium
C000619,3,N,medium,0,medium
C000620,3,N,medium,0,medium
C000621,2,N,short,0,medium
C000622,4,N,medium,0,medium
C000623,3,N,medium,0,medium
C000624,4,N,medium,0,medium
C000625,4,Y,medium,1,high
C000626,3,N,medium,0,medium
C000627,2,Y,short,1,high
C000628,2,Y,short,1,high
C000629,3,N,medium,0,medium
C000630,3,N,medium,0,medium
C000631,4,N,medium,0,medium
C000632,4,N,medium,0,medium
C000633,3,N,medium,0,medium
C000634,4,N,medium,0,medium
C000635,4,N,medium,0,medium
C000636,4,N,medium,0,medium
C000637,2,N,short,0,medium
C000638,3,N,medium,0,medium
C000639,3,N,medium,0,medium
C000640,4,N,medium,0,medium
C000641,3,N,medium,0,medium
C000642,2,N,short,0,medium
C000643,4,N,medium,0,medium
C000644,2,N,short,0,medium
C000645,2,N,short,0,medium
C000646,4,Y,medium,1,high
C000647,2,Y,short,1,high
C000648,2,N,short,0,medium
C000649,2,N,short,0,medium
C000650,3,N,medium,0,medium
C000651,3,N,medium,0,medium
C000652,4,Y,medium,1,high
C000653,2,N,short,0,medium
C000654,2,N,short,0,medium
C000655,4,N,medium,0,medium
C000656,2,N,short,0,medium
C000657,2,N,short,0,medium
C000658,3,N,medium,0,medium
C000659,3,N,medium,0,medium
C000660,4,N,medium,0,medium
C000661,3,Y,medium,1,high
C000662,2,N,short,0,medium
C000663,3,N,medium,0,medium
C000664,2,N,short,0,medium
C000665,4,Y,medium,1,high
C000666,4,N,medium,0,medium
C000667,3,N,medium,0,medium
C000668,3,Y,medium,1,high
C000669,3,Y,medium,1,high
C000670,2,N,short,0,medium
C000671,3,Y,medium,1,high
C000672,4,N,medium,0,medium
C000673,2,N,short,0,medium
C000674,4,N,medium,0,medium
C000675,4,N,medium,0,medium
C000676,4,N,medium,0,medium
C000677,4,Y,medium,1,high
C000678,2,N,short,0,medium
C000679,4,N,medium,0,medium
C000680,3,Y,medium,1,high
C000681,3,N,medium,0,medium
C000682,4,Y,medium,1,high
C000683,3,Y,medium,1,high
C000684,2,N,short,0,medium
C000685,2,N,short,0,medium
C000686,3,N,medium,0,medium
C000687,2,N,short,0,medium
C000688,3,N,medium,0,medium
C000689,3,Y,medium,1,high
C000690,2,N,short,0,medium
C000691,3,N,medium,0,medium
C000692,4,N,medium,0,medium
C000693,2,Y,short,1,high
C000694,4,N,medium,0,medium
C000695,4,N,medium,0,medium
C000696,2,Y,short,1,high
C000697,2,N,short,0,medium
C000698,2,Y,short,1,high
C000699,2,N,short,0,medium
C000700,2,N,short,0,medium
C000701,2,N,short,0,medium
C000702,2,N,short,0,medium
C000703,2,Y,short,1,high
C000704,4,N,medium,0,medium
C000705,4,Y,medium,1,high
C000706,4,N,medium,0,medium
C000707,2,Y,short,1,high
C000708,2,N,short,0,medium
C000709,4,N,medium,0,medium
C000710,4,N,medium,0,medium
C000711,2,N,short,0,medium
C000712,3,N,medium,0,medium
C000713,3,N,medium,0,medium
C000714,4,Y,medium,1,high
C000715,2,N,short,0,medium
C000716,2,N,short,0,medium
C000717,3,N,medium,0,medium
C000718,2,N,short,0,medium
C000719,3,Y,medium,1,high
C000720,3,N,medium,0,medium
C000721,3,Y,medium,1,high
C000722,4,N,medium,0,medium
C000723,2,Y,short,1,high
C000724,4,N,medium,0,medium
C000725,3,N,medium,0,medium
C000726,4,N,medium,0,medium
C000727,3,N,medium,0,medium
C000728,3,N,medium,0,medium
C000729,4,N,medium,0,medium
C000730,2,N,short,0,medium
C000731,3,N,medium,0,medium
C000732,3,N,medium,0,medium
C000733,4,N,medium,0,medium
C000734,3,Y,medium,1,high
C000735,3,N,medium,0,medium
C000736,3,N,medium,0,medium
C000737,3,N,medium,0,medium
C000738,4,N,medium,0,medium
C000739,4,N,medium,0,medium
C000740,2,Y,short,1,high
C000741,3,N,medium,0,medium
C000742,4,N,medium,0,medium
C000743,2,N,short,0,medium
C000744,4,Y,medium,1,high
C000745,2,N,short,0,medium
C000746,3,N,medium,0,medium
C000747,2,N,short,0,medium
C000748,4,N,medium,0,medium
C000749,2,N,short,0,medium
C000750,2,N,short,0,medium
C000751,4,Y,medium,1,high
C000752,3,N,medium,0,medium
C000753,4,Y,medium,1,high
C000754,4,Y,medium,1,high
C000755,4,N,medium,0,medium
C000756,4,N,medium,0,medium
C000757,4,N,medium,0,medium
C000758,4,N,medium,0,medium
C000759,4,N,medium,0,medium
C000760,4,N,medium,0,medium
C000761,4,Y,medium,1,high
C000762,4,N,medium,0,medium
C000763,3,N,medium,0,medium
C000764,3,N,medium,0,medium
C000765,4,Y,medium,1,high
C000766,4,Y,medium,1,high
C000767,2,N,short,0,medium
C000768,4,N,medium,0,medium
C000769,2,N,short,0,medium
C000770,2,Y,short,1,high
C000771,4,Y,medium,1,high
C000772,4,Y,medium,1,high
C000773,3,N,medium,0,medium
C000774,2,N,short,0,medium
C000775,4,N,medium,0,medium
C000776,2,N,short,0,medium
C000777,2,N,short,0,medium
C000778,2,N,short,0,medium
C000779,2,N,short,0,medium
C000780,2,N,short,0,medium
C000781,3,N,medium,0,medium
C000782,2,N,short,0,medium
C000783,3,N,medium,0,medium
C000784,3,N,medium,0,medium
C000785,2,N,short,0,medium
C000786,2,N,short,0,medium
C000787,4,N,medium,0,medium
C000788,4,N,medium,0,medium
C000789,4,N,medium,0,medium
C000790,2,Y,short,1,high
C000791,3,N,medium,0,medium
C000792,4,N,medium,0,medium
C000793,3,N,medium,0,medium
C000794,2,N,short,0,medium
C000795,4,N,medium,0,medium
C000796,3,N,medium,0,medium
C000797,4,N,medium,0,medium
C000798,2,Y,short,1,high
C000799,4,N,medium,0,medium
C000800,2,N,short,0,medium
C000801,2,N,short,0,medium
C000802,3,N,medium,0,medium
C000803,4,N,medium,0,medium
C000804,4,N,medium,0,medium
C000805,2,N,short,0,medium
C000806,2,N,short,0,medium
C000807,2,N,short,0,medium
C000808,2,N,short,0,medium
C000809,3,Y,medium,1,high
C000810,2,N,short,0,medium
C000811,3,N,medium,0,medium
C000812,2,N,short,0,medium
C000813,4,Y,medium,1,high
C000814,4,N,medium,0,medium
C000815,2,Y,short,1,high
C000816,4,N,medium,0,medium
C000817,4,N,medium,0,medium
C000818,4,N,medium,0,medium
C000819,3,Y,medium,1,high
C000820,3,N,medium,0,medium
C000821,2,N,short,0,medium
C000822,2,N,short,0,medium
C000823,2,Y,short,1,high
C000824,3,Y,medium,1,high
C000825,4,N,medium,0,medium
C000826,4,Y,medium,1,high
C000827,2,Y,short,1,high
C000828,3,N,medium,0,medium
C000829,4,N,medium,0,medium
C000830,3,N,medium,0,medium
C000831,2,N,short,0,medium
C000832,3,N,medium,0,medium
C000833,2,Y,short,1,high
C000834,4,N,medium,0,medium
C000835,3,N,medium,0,medium
C000836,3,N,medium,0,medium
C000837,3,N,medium,0,medium
C000838,3,N,medium,0,medium
C000839,4,N,medium,0,medium
C000840,2,N,short,0,medium
C000841,3,N,medium,0,medium
C000842,3,N,medium,0,medium
C000843,2,N,short,0,medium
C000844,2,N,short,0,medium
C000845,2,N,short,0,medium
C000846,2,Y,short,1,high
C000847,4,N,medium,0,medium
C000848,3,N,medium,0,medium
C000849,3,N,medium,0,medium
C000850,4,N,medium,0,medium
C000851,2,N,short,0,medium
C000852,2,N,short,0,medium
C000853,4,Y,medium,1,high
C000854,2,N,short,0,medium
C000855,2,Y,short,1,high
C000856,4,N,medium,0,medium
C000857,3,N,medium,0,medium
C000858,4,N,medium,0,medium
C000859,3,Y,medium,1,high
C000860,3,Y,medium,1,high
C000861,3,N,medium,0,medium
C000862,4,N,medium,0,medium
C000863,4,N,medium,0,medium
C000864,3,N,medium,0,medium
C000865,4,N,medium,0,medium
C000866,2,N,short,0,medium
C000867,3,N,medium,0,medium
C000868,2,Y,short,1,high
C000869,2,N,short,0,medium
C000870,4,N,medium,0,medium
C000871,4,N,medium,0,medium
C000872,2,N,short,0,medium
C000873,2,Y,short,1,high
C000874,2,N,short,0,medium
C000875,3,Y,medium,1,high
C000876,4,Y,medium,1,high
C000877,2,N,short,0,medium
C000878,4,N,medium,0,medium
C000879,4,N,medium,0,medium
C000880,4,N,medium,0,medium
C000881,4,N,medium,0,medium
C000882,2,N,short,0,medium
C000883,4,N,medium,0,medium
C000884,4,N,medium,0,medium
C000885,3,N,medium,0,medium
C000886,2,N,short,0,medium
C000887,2,N,short,0,medium
C000888,3,N,medium,0,medium
