customer_id,age,income,home_ownership,employment_length,age_category,income_category,employment_stability
C000177,24,200000,MORTGAGE,3.0,young,high,moderate
C000178,26,200000,MORTGAGE,4.0,adult,high,moderate
C000179,25,200000,MORTGAGE,2.0,adult,high,moderate
C000180,24,200000,RENT,8.0,young,high,stable
C000181,24,66000,RENT,3.0,young,medium,moderate
C000182,22,66000,RENT,6.0,young,medium,stable
C000183,22,200000,MORTGAGE,6.0,young,high,stable
C000184,144,200000,MORTGAGE,4.0,senior,high,moderate
C000185,25,200000,RENT,5.0,adult,high,stable
C000186,25,200000,MORTGAGE,2.0,adult,high,moderate
C000187,25,200000,MORTGAGE,9.0,adult,high,stable
C000188,24,200000,MORTGAGE,8.0,young,high,stable
C000189,24,60000,RENT,2.0,young,medium,moderate
C000190,21,14400,OWN,0.0,young,low,unstable
C000191,26,66996,RENT,10.0,adult,medium,stable
C000192,23,67000,RENT,3.0,young,medium,moderate
C000193,24,67000,RENT,2.0,young,medium,moderate
C000194,24,68000,RENT,5.0,young,medium,stable
C000195,25,69000,RENT,9.0,adult,medium,stable
C000196,25,200000,MORTGAGE,0.0,adult,high,unstable
C000197,26,188000,MORTGAGE,10.0,adult,high,stable
C000198,26,200000,MORTGAGE,4.0,adult,high,moderate
C000199,25,69996,RENT,9.0,adult,medium,stable
C000200,22,14400,OWN,2.0,young,low,moderate
C000201,24,70000,RENT,3.0,young,high,moderate
C000202,24,14400,OWN,5.0,young,low,stable
C000203,24,56100,RENT,7.0,young,medium,stable
C000204,25,66000,RENT,9.0,adult,medium,stable
C000205,26,66000,RENT,3.0,adult,medium,moderate
C000206,25,14400,OWN,7.0,adult,low,stable
C000207,25,72612,RENT,9.0,adult,high,stable
C000208,23,74000,RENT,3.0,young,high,moderate
C000209,25,75000,RENT,9.0,adult,high,stable
C000210,24,192000,RENT,0.0,young,high,unstable
C000211,21,192000,MORTGAGE,123.0,young,high,stable
C000212,25,191000,MORTGAGE,1.0,adult,high,unstable
C000213,26,190300,MORTGAGE,5.0,adult,high,stable
C000214,22,190000,MORTGAGE,3.0,young,high,moderate
C000215,24,75000,RENT,4.0,young,high,moderate
C000216,22,71000,RENT,1.0,young,high,unstable
C000217,26,190000,MORTGAGE,3.0,adult,high,moderate
C000218,23,189996,OWN,0.0,young,high,unstable
C000219,23,78000,RENT,7.0,young,high,stable
C000220,23,78000,RENT,1.0,young,high,unstable
C000221,23,78504,RENT,7.0,young,high,stable
C000222,25,186000,OWN,9.0,adult,high,stable
C000223,24,185000,MORTGAGE,,young,high,
C000224,25,185000,RENT,6.0,adult,high,stable
C000225,24,62050,RENT,8.0,young,medium,stable
C000226,23,79416,RENT,7.0,young,high,stable
C000227,21,14400,OWN,4.0,young,low,moderate
C000228,24,79631,RENT,8.0,young,high,stable
C000229,24,79632,RENT,0.0,young,high,unstable
C000230,21,14400,MORTGAGE,0.0,young,low,unstable
C000231,24,80000,RENT,6.0,young,high,stable
C000232,26,80000,RENT,5.0,adult,high,stable
C000233,22,185000,RENT,4.0,young,high,moderate
C000234,26,185000,OWN,10.0,adult,high,stable
C000235,24,184992,RENT,7.0,young,high,stable
C000236,23,184000,OWN,5.0,young,high,stable
C000237,24,172000,MORTGAGE,6.0,young,high,stable
C000238,24,183000,MORTGAGE,2.0,young,high,moderate
C000239,22,183000,MORTGAGE,3.0,young,high,moderate
C000240,25,182952,MORTGAGE,9.0,adult,high,stable
C000241,23,74004,RENT,7.0,young,high,stable
C000242,26,74004,RENT,10.0,adult,high,stable
C000243,25,81000,RENT,5.0,adult,high,stable
C000244,23,81600,RENT,1.0,young,high,unstable
C000245,24,82000,RENT,8.0,young,high,stable
C000246,24,83000,RENT,5.0,young,high,stable
C000247,24,83000,RENT,5.0,young,high,stable
C000248,24,180000,RENT,8.0,young,high,stable
C000249,23,180000,MORTGAGE,8.0,young,high,stable
C000250,23,14400,OWN,2.0,young,low,moderate
C000251,22,14400,OWN,0.0,young,low,unstable
C000252,22,84500,RENT,6.0,young,high,stable
C000253,24,85000,RENT,5.0,young,high,stable
C000254,24,180000,MORTGAGE,7.0,young,high,stable
C000255,26,180000,MORTGAGE,2.0,adult,high,moderate
C000256,25,142800,MORTGAGE,9.0,adult,high,stable
C000257,23,14664,MORTGAGE,0.0,young,low,unstable
C000258,24,87000,RENT,8.0,young,high,stable
C000259,24,75000,RENT,0.0,young,high,unstable
C000260,23,76000,RENT,7.0,young,high,stable
C000261,23,66215,RENT,1.0,young,medium,unstable
C000262,25,90000,RENT,9.0,adult,high,stable
C000263,21,15000,OWN,0.0,young,low,unstable
C000264,26,180000,OWN,2.0,adult,high,moderate
C000265,24,180000,OWN,8.0,young,high,stable
C000266,25,180000,OWN,9.0,adult,high,stable
C000267,26,180000,OWN,0.0,adult,high,unstable
C000268,25,180000,MORTGAGE,3.0,adult,high,moderate
C000269,23,15000,OWN,7.0,young,low,stable
C000270,23,78000,RENT,2.0,young,high,moderate
C000271,25,66300,RENT,3.0,adult,medium,moderate
C000272,23,90000,RENT,0.0,young,high,unstable
C000273,24,79000,RENT,9.0,young,high,stable
C000274,24,91800,RENT,4.0,young,high,moderate
C000275,25,92000,RENT,6.0,adult,high,stable
C000276,24,92000,RENT,1.0,young,high,unstable
C000277,23,93600,RENT,3.0,young,high,moderate
C000278,23,15000,MORTGAGE,1.0,young,low,unstable
C000279,23,70550,RENT,3.0,young,high,moderate
C000280,25,83800,RENT,2.0,adult,high,moderate
C000281,26,175000,MORTGAGE,3.0,adult,high,moderate
C000282,25,175000,MORTGAGE,10.0,adult,high,stable
C000283,22,175000,MORTGAGE,6.0,young,high,stable
C000284,23,175000,MORTGAGE,8.0,young,high,stable
C000285,23,15000,OWN,4.0,young,low,moderate
C000286,23,15000,OWN,4.0,young,low,moderate
C000287,22,88000,RENT,6.0,young,high,stable
C000288,25,74800,RENT,2.0,adult,high,moderate
C000289,25,88000,RENT,0.0,adult,high,unstable
C000290,25,15000,OWN,2.0,adult,low,moderate
C000291,26,88000,RENT,2.0,adult,high,moderate
C000292,25,100000,RENT,1.0,adult,high,unstable
C000293,23,15000,MORTGAGE,0.0,young,low,unstable
C000294,24,102400,RENT,8.0,young,high,stable
C000295,24,92000,RENT,1.0,young,high,unstable
C000296,23,93000,RENT,0.0,young,high,unstable
C000297,22,175000,RENT,6.0,young,high,stable
C000298,23,175000,MORTGAGE,3.0,young,high,moderate
C000299,25,174708,RENT,9.0,adult,high,stable
C000300,25,174000,MORTGAGE,2.0,adult,high,moderate
C000301,26,174000,RENT,8.0,adult,high,stable
C000302,25,162000,MORTGAGE,5.0,adult,high,stable
C000303,26,173467,MORTGAGE,10.0,adult,high,stable
C000304,21,15000,OWN,0.0,young,low,unstable
C000305,25,96000,RENT,2.0,adult,high,moderate
C000306,21,15120,MORTGAGE,0.0,young,low,unstable
C000307,24,97908,RENT,8.0,young,high,stable
C000308,26,110000,RENT,3.0,adult,high,moderate
C000309,23,15204,MORTGAGE,7.0,young,low,stable
C000310,25,159600,RENT,0.0,adult,high,unstable
C000311,24,171500,RENT,6.0,young,high,stable
C000312,25,170004,MORTGAGE,3.0,adult,high,moderate
C000313,24,158004,RENT,0.0,young,high,unstable
C000314,26,170000,RENT,0.0,adult,high,unstable
C000315,24,83300,RENT,0.0,young,high,unstable
C000316,24,110000,RENT,7.0,young,high,stable
C000317,22,15360,OWN,7.0,young,low,stable
C000318,25,134300,RENT,3.0,adult,high,moderate
C000319,25,170000,MORTGAGE,2.0,adult,high,moderate
C000320,22,100580,RENT,6.0,young,high,stable
C000321,25,113000,RENT,7.0,adult,high,stable
C000322,24,120000,RENT,8.0,young,high,stable
C000323,25,120000,RENT,6.0,adult,high,stable
C000324,23,120000,RENT,7.0,young,high,stable
C000325,24,91800,RENT,5.0,young,high,stable
C000326,21,15600,OWN,5.0,young,low,stable
C000327,26,108000,RENT,2.0,adult,high,moderate
C000328,26,129996,RENT,6.0,adult,high,stable
C000329,23,130000,RENT,4.0,young,high,moderate
C000330,23,130000,RENT,7.0,young,high,stable
C000331,25,170000,OWN,4.0,adult,high,moderate
C000332,26,170000,MORTGAGE,0.0,adult,high,unstable
C000333,22,169000,RENT,1.0,young,high,unstable
C000334,26,168750,RENT,10.0,adult,high,stable
C000335,23,168600,RENT,3.0,young,high,moderate
C000336,24,168288,RENT,5.0,young,high,stable
C000337,25,168000,MORTGAGE,2.0,adult,high,moderate
C000338,24,133300,RENT,6.0,young,high,stable
C000339,24,15600,OWN,5.0,young,low,stable
C000340,24,134000,RENT,8.0,young,high,stable
C000341,25,134000,RENT,7.0,adult,high,stable
C000342,25,15600,OWN,0.0,adult,low,unstable
C000343,25,135000,RENT,5.0,adult,high,stable
C000344,26,135660,RENT,10.0,adult,high,stable
C000345,25,145000,RENT,0.0,adult,high,unstable
C000346,23,150000,RENT,4.0,young,high,moderate
C000347,23,165000,MORTGAGE,3.0,young,high,moderate
C000348,22,153000,MORTGAGE,5.0,young,high,stable
C000349,24,165000,MORTGAGE,5.0,young,high,stable
C000350,25,165000,MORTGAGE,0.0,adult,high,unstable
C000351,21,165000,MORTGAGE,5.0,young,high,stable
C000352,23,16000,OWN,7.0,young,low,stable
C000353,23,16000,MORTGAGE,3.0,young,low,moderate
C000354,23,16000,OWN,7.0,young,low,stable
C000355,23,148000,RENT,1.0,young,high,unstable
C000356,23,16000,MORTGAGE,1.0,young,low,unstable
C000357,24,16020,OWN,3.0,young,low,moderate
C000358,22,16094,MORTGAGE,2.0,young,low,moderate
C000359,25,175000,RENT,2.0,adult,high,moderate
C000360,22,16200,OWN,6.0,young,low,stable
C000361,24,185000,RENT,7.0,young,high,stable
C000362,25,162000,RENT,9.0,adult,high,stable
C000363,26,161000,RENT,10.0,adult,high,stable
C000364,22,160000,MORTGAGE,0.0,young,high,unstable
C000365,25,225000,RENT,5.0,adult,high,stable
C000366,25,16400,OWN,1.0,adult,low,unstable
C000367,23,16500,OWN,6.0,young,low,stable
C000368,25,49500,RENT,6.0,adult,medium,stable
C000369,23,60000,RENT,4.0,young,medium,moderate
C000370,24,84200,RENT,8.0,young,high,stable
C000371,22,16800,MORTGAGE,5.0,young,low,stable
C000372,24,92000,RENT,8.0,young,high,stable
C000373,23,160000,MORTGAGE,5.0,young,high,stable
C000374,24,160000,MORTGAGE,9.0,young,high,stable
C000375,25,160000,MORTGAGE,1.0,adult,high,unstable
C000376,26,160000,RENT,6.0,adult,high,stable
C000377,25,125800,MORTGAGE,0.0,adult,high,unstable
C000378,25,54000,RENT,2.0,adult,medium,moderate
C000379,23,62500,RENT,1.0,young,medium,unstable
C000380,24,16800,MORTGAGE,,young,low,
C000381,25,68400,RENT,9.0,adult,medium,stable
C000382,26,56045,RENT,1.0,adult,medium,unstable
C000383,22,74000,RENT,7.0,young,high,stable
C000384,24,65453,RENT,9.0,young,medium,stable
C000385,24,89908,RENT,1.0,young,high,unstable
C000386,26,78000,RENT,0.0,adult,high,unstable
C000387,23,100000,RENT,0.0,young,high,unstable
C000388,23,103000,RENT,6.0,young,high,stable
C000389,25,160000,MORTGAGE,2.0,adult,high,moderate
C000390,25,160000,OWN,5.0,adult,high,stable
C000391,24,160000,MORTGAGE,3.0,young,high,moderate
C000392,23,160000,MORTGAGE,2.0,young,high,moderate
C000393,26,160000,MORTGAGE,0.0,adult,high,unstable
C000394,21,160000,MORTGAGE,3.0,young,high,moderate
C000395,25,160000,MORTGAGE,3.0,adult,high,moderate
C000396,22,16800,MORTGAGE,0.0,young,low,unstable
C000397,25,111996,RENT,9.0,adult,high,stable
C000398,21,16800,MORTGAGE,0.0,young,low,unstable
C000399,25,115200,RENT,0.0,adult,high,unstable
C000400,23,144000,RENT,0.0,young,high,unstable
C000401,23,287000,RENT,3.0,young,high,moderate
C000402,22,108000,RENT,1.0,young,high,unstable
C000403,22,43000,RENT,7.0,young,medium,stable
C000404,23,47004,RENT,1.0,young,medium,unstable
C000405,24,48000,RENT,4.0,young,medium,moderate
C000406,26,48000,RENT,4.0,adult,medium,moderate
C000407,21,44964,RENT,2.0,young,medium,moderate
C000408,25,52000,RENT,,adult,medium,
C000409,22,17352,MORTGAGE,,young,low,
C000410,24,47000,RENT,3.0,young,medium,moderate
C000411,22,17400,MORTGAGE,6.0,young,low,stable
C000412,22,49000,RENT,2.0,young,medium,moderate
C000413,26,60000,RENT,0.0,adult,medium,unstable
C000414,25,60000,RENT,3.0,adult,medium,moderate
C000415,22,60000,RENT,0.0,young,medium,unstable
C000416,21,60000,RENT,5.0,young,medium,stable
C000417,26,62004,RENT,9.0,adult,medium,stable
C000418,22,62400,RENT,3.0,young,medium,moderate
C000419,26,65000,RENT,10.0,adult,medium,stable
C000420,22,17760,MORTGAGE,6.0,young,low,stable
C000421,23,59000,RENT,5.0,young,medium,stable
C000422,23,66000,RENT,6.0,young,medium,stable
C000423,24,60000,RENT,0.0,young,medium,unstable
C000424,25,66143,RENT,9.0,adult,medium,stable
C000425,22,62250,RENT,3.0,young,medium,moderate
C000426,24,70000,RENT,8.0,young,high,stable
C000427,23,74000,RENT,7.0,young,high,stable
C000428,22,18000,OWN,3.0,young,low,moderate
C000429,22,75000,RENT,6.0,young,high,stable
C000430,24,75000,RENT,9.0,young,high,stable
C000431,24,75000,RENT,7.0,young,high,stable
C000432,26,69000,RENT,0.0,adult,medium,unstable
C000433,23,78000,RENT,4.0,young,high,moderate
C000434,22,18000,OWN,,young,low,
C000435,24,80000,RENT,2.0,young,high,moderate
C000436,22,18000,OWN,1.0,young,low,unstable
C000437,23,18000,OWN,3.0,young,low,moderate
C000438,23,74700,RENT,6.0,young,high,stable
C000439,26,88596,RENT,3.0,adult,high,moderate
C000440,25,95000,RENT,4.0,adult,high,moderate
C000441,22,83000,RENT,6.0,young,high,stable
C000442,25,95000,RENT,9.0,adult,high,stable
C000443,21,18000,OWN,3.0,young,low,moderate
C000444,21,18000,OWN,,young,low,
C000445,26,100000,RENT,5.0,adult,high,stable
C000446,24,110000,RENT,7.0,young,high,stable
C000447,24,18000,OWN,0.0,young,low,unstable
C000448,22,98000,RENT,7.0,young,high,stable
C000449,26,103872,RENT,6.0,adult,high,stable
C000450,22,120000,RENT,4.0,young,high,moderate
C000451,24,120000,RENT,1.0,young,high,unstable
C000452,26,108000,RENT,9.0,adult,high,stable
C000453,24,124080,RENT,4.0,young,high,moderate
C000454,23,18000,MORTGAGE,1.0,young,low,unstable
C000455,24,130000,RENT,7.0,young,high,stable
C000456,25,135000,RENT,8.0,adult,high,stable
C000457,24,135000,RENT,4.0,young,high,moderate
C000458,23,114750,RENT,2.0,young,high,moderate
C000459,23,150000,RENT,0.0,young,high,unstable
C000460,23,138000,RENT,7.0,young,high,stable
C000461,24,18000,OWN,6.0,young,low,stable
C000462,21,18000,OWN,0.0,young,low,unstable
C000463,26,155000,RENT,7.0,adult,high,stable
C000464,26,148000,RENT,1.0,adult,high,unstable
C000465,26,170000,RENT,3.0,adult,high,moderate
C000466,21,18000,OWN,1.0,young,low,unstable
C000467,24,43896,RENT,8.0,young,medium,stable
C000468,23,120000,RENT,4.0,young,high,moderate
C000469,24,54996,RENT,2.0,young,medium,moderate
C000470,24,18000,MORTGAGE,0.0,young,low,unstable
C000471,25,102000,RENT,9.0,adult,high,stable
C000472,23,75000,RENT,3.0,young,high,moderate
C000473,22,18000,OWN,2.0,young,low,moderate
C000474,22,18000,OWN,1.0,young,low,unstable
C000475,25,18000,MORTGAGE,1.0,adult,low,unstable
C000476,21,18000,OWN,5.0,young,low,stable
C000477,22,66960,RENT,1.0,young,medium,unstable
C000478,22,43385,RENT,7.0,young,medium,stable
C000479,25,56544,RENT,3.0,adult,medium,moderate
C000480,23,60000,RENT,2.0,young,medium,moderate
C000481,24,18000,MORTGAGE,3.0,young,low,moderate
C000482,25,63208,RENT,9.0,adult,medium,stable
C000483,24,65000,RENT,0.0,young,medium,unstable
C000484,23,68000,RENT,7.0,young,medium,stable
C000485,22,18000,OWN,1.0,young,low,unstable
C000486,25,80000,RENT,9.0,adult,high,stable
C000487,24,88000,RENT,1.0,young,high,unstable
C000488,22,58600,RENT,5.0,young,medium,stable
C000489,23,70000,RENT,7.0,young,high,stable
C000490,24,18287,OWN,3.0,young,low,moderate
C000491,26,69846,RENT,2.0,adult,medium,moderate
C000492,24,73000,RENT,0.0,young,high,unstable
C000493,24,18500,MORTGAGE,8.0,young,low,stable
C000494,23,35000,RENT,2.0,young,medium,moderate
C000495,25,43000,RENT,9.0,adult,medium,stable
C000496,25,52000,RENT,4.0,adult,medium,moderate
C000497,21,18701,MORTGAGE,0.0,young,low,unstable
C000498,22,57000,RENT,6.0,young,medium,stable
C000499,25,58000,RENT,0.0,adult,medium,unstable
C000500,23,60000,RENT,6.0,young,medium,stable
C000501,24,60000,RENT,3.0,young,medium,moderate
C000502,25,18840,MORTGAGE,5.0,adult,low,stable
C000503,26,56000,RENT,7.0,adult,medium,stable
C000504,22,70000,RENT,3.0,young,high,moderate
C000505,22,66000,RENT,1.0,young,medium,unstable
C000506,23,74064,RENT,3.0,young,high,moderate
C000507,24,76597,RENT,5.0,young,high,stable
C000508,22,19000,OWN,6.0,young,low,stable
C000509,26,77000,RENT,0.0,adult,high,unstable
C000510,21,19000,OWN,5.0,young,low,stable
C000511,24,80000,RENT,0.0,young,high,unstable
C000512,26,82600,RENT,10.0,adult,high,stable
C000513,24,19000,OWN,3.0,young,low,moderate
C000514,25,19000,OWN,3.0,adult,low,moderate
C000515,23,84000,RENT,3.0,young,high,moderate
C000516,25,77650,RENT,8.0,adult,high,stable
C000517,25,82000,RENT,1.0,adult,high,unstable
C000518,21,19012,MORTGAGE,0.0,young,low,unstable
C000519,23,99996,RENT,3.0,young,high,moderate
C000520,23,110000,RENT,0.0,young,high,unstable
C000521,22,19200,MORTGAGE,6.0,young,low,stable
C000522,25,57000,RENT,4.0,adult,medium,moderate
C000523,24,54000,RENT,5.0,young,medium,stable
C000524,23,56000,RENT,8.0,young,medium,stable
C000525,26,63000,RENT,2.0,adult,medium,moderate
C000526,22,82000,RENT,3.0,young,high,moderate
C000527,22,78000,RENT,6.0,young,high,stable
C000528,22,19200,OWN,0.0,young,low,unstable
C000529,24,112140,RENT,8.0,young,high,stable
C000530,24,19200,MORTGAGE,,young,low,
C000531,25,19200,OWN,4.0,adult,low,moderate
C000532,24,59000,RENT,5.0,young,medium,stable
C000533,24,70000,RENT,5.0,young,high,stable
C000534,24,116000,RENT,5.0,young,high,stable
C000535,25,60000,RENT,5.0,adult,medium,stable
C000536,22,31000,RENT,5.0,young,medium,stable
C000537,25,47052,RENT,5.0,adult,medium,stable
